,gasto_gobierno,importaciones,pib_real,exportaciones_no_pet,log_gasto_gobierno,log_importaciones,log_pib_real,log_exportaciones_no_pet,d_log_gasto_gobierno,d_log_importaciones,d_log_pib_real,d_log_exportaciones_no_pet
2010-06-30,2431.8985405801354,9800.858543402812,23586.68692673624,3567.408520143404,7.7964275237043585,9.190225267291115,10.068437718568058,8.179594706455545,0.013713030208038823,-0.01384743173543157,-0.0052912030406453425,0.008612874336655807
2010-09-30,2434.288866976244,9916.918616775802,24115.497879320767,3594.9329071879156,7.797409946446504,9.201997528716614,10.09060997833269,8.187280607168175,0.000982422742145772,0.011772261425498698,0.02217225976463233,0.0076859007126302
2010-12-31,2464.5196484699404,10003.812308590786,23917.62662393342,3617.2155568565177,7.809752198712531,9.210721530185241,10.082370981734332,8.19345982565784,0.012342252266027032,0.008724001468626952,-0.008238996598358028,0.006179218489664962
2011-03-31,2521.333365938819,10041.6980651879,24204.166966553767,3486.9701928492846,7.832543154042081,9.214501508943648,10.094280086022573,8.156788498560333,0.022790955329549334,0.0037799787584074096,0.011909104288241323,-0.036671327097506534
2011-06-30,2524.807542886436,10163.542154546527,24385.99639145834,3512.129616168731,7.8339201181654845,9.226562297631142,10.101764328144244,8.16397786072794,0.0013769641234038232,0.01206078868749394,0.007484242121670093,0.007189362167606461
2011-09-30,2490.1281158735474,10036.301349000476,24009.564370740693,3534.3594058446524,7.820089440293188,9.213963933839072,10.08620754539142,8.170287347155307,-0.013830677872296526,-0.0125983637920708,-0.015556782752822684,0.0063094864273676166
2011-12-31,2519.46235093676,10025.474358447073,24094.062924339676,3556.670161494421,7.831800804939649,9.21288456860616,10.089720737442034,8.176580038240445,0.01171136464646061,-0.0010793652329113002,0.0035131920506135117,0.006292691085137747
2012-03-31,2485.5845310015634,9956.30693700912,24119.266488215864,3700.4191921077527,7.818263134613046,9.20596149236232,10.090766239442376,8.216201387379162,-0.01353767032660258,-0.006923076243840143,0.0010455020003412585,0.03962134913871651
2012-06-30,2465.2947271652374,9891.714758993516,24107.138584409153,3680.6872519870085,7.810066644102409,9.199452792701244,10.090263282440123,8.210854766984097,-0.008196490510637311,-0.006508699661075923,-0.0005029570022525576,-0.005346620395064505
2012-09-30,2501.957342437047,9960.310155665533,23980.993659424304,3626.2525285312636,7.8248286414958415,9.206363490220863,10.085016864729868,8.195955032720793,0.014761997393432758,0.0069106975196184806,-0.005246417710255358,-0.014899734263304154
